amiable-good-natured;"You know I can be found Sitting home all alone If you can't come around At least please telephone A-don't be cruel to a heart that's true  Baby, if I made you mad For something I might have said Please, let's forget the past The future looks bright ahead A-don't be cruel to a heart that's true I don't want no other love A-baby, it's still you I'm thinking of, mm  Don't stop thinking of me Don't make me feel this way Come on over here and love me You know what I want you to say A-don't be cruel to a heart that's true Why should we be apart? I really love you, baby, cross my heart  Let's walk up to the preacher And let us say ""I do"" Then you'll know you'll have me And I'll know that I'll have you A-don't be cruel to a heart that's true I don't want no other love A-baby, it's still you I'm thinking of  A-don't be cruel to a heart that's true Don't be cruel to a heart that's true I don't want no other love A-baby, it's still you I'm thinking of";Elvis Presley;Don't Be Cruel;;;;;;;;;;
amiable-good-natured;You can shake an apple off an apple tree Shake-a, shake- sugar, but you'll never shake me Uh-uh-uh No-sir-ee, uh, uh I'm gonna stick like glue Stick because I'm stuck on you  I'm gonna run my fingers through your long black hair Squeeze you tighter than a grizzly bear Uh-uh-uh Yes-sir-ee, uh, uh I'm gonna stick like glue Stick because I'm stuck on you  Hide in the kitchen, hide in the hall Ain't gonna do you no good at all 'Cause once I catch ya and the kissin' starts A team o' wild horses couldn't tear us apart  Son to take a tiger from his daddy's side That's how love is gonna keep us tied Uh-uh-uh Uh-uh-uh Oh yeah, uh-uh-uh I'm gonna stick like glue Stick, because I'm stuck on you  Hide in the kitchen, hide in the hall Ain't gonna do you no good at all 'Cause once I catch ya and the kissin' starts A team o' wild horses couldn't tear us apart  Son to take a tiger from his daddy's side That's how love is gonna keep us tied Uh-uh-uh Yes-sir-ee, uh,uh I'm gonna stick like glue Yeah yeah, because I'm stuck on you  I'm gonna stick like glue Yeah yeah, because I'm stuck on you I'm gonna stick like glue Yeah yeah, because I'm stuck on you;Elvis Presley;Stuck on You;;;;;;;;;;
amiable-good-natured;You see a pair of laughing eyes, And  suddenly you're sighing sighs You're thinkin' nothin's wrong, You string along, boy, then SNAP!  Those eyes, those sighs  - They're part of the tender trap.  You're hand in hand beneath the trees, And soon there's music in the breeze. You're actin' kind of smug Until your heart just goes WHAP!  Those trees, that breeze - They're part of the tender trap.  Some starry night, When her kisses make you tingle, She'll hold you tight And you'll hate yourself for being single.  And all at once it seems so nice, The folks are throwin' shoes and rice. You hurry to a spot that's just a dot on the map.  You're hooked, you're cooked, You're caught in the tender trap.  Some starry night, When her kisses make you tingle, She'll hold you tight And you'll hate yourself for bein' single.  And all at once it seems so nice, The folks are throwin' shoes and rice. You hurry to a spot that's just a dot on the map  And then you wonder how it all came about, It's too late now, there's no gettin' out - You fell in love, and love is the tender trap.;Frank Sinatra;(Love Is) The Tender Trap;;;;;;;;;;
amiable-good-natured;"The wine beneath the bed The things we've done and said And all the mem'ries That come glancing back to me In my loneliness  You're standing in the bridge Beyond that stretch but our love reach An consciousness has found me sometimes wondering Where you're at Umm, take me back again Take me back one more time, Spanish rose  The way ya pulled the gate Behind you when you said, ""It ain't too late Come on, let's swing the town and have a Ball tonight  Yeah, hopin' you'd come through And many others, too And all the friends we used to have in days gone by I'm wondering If you'll take me back again Take me back one more time, Spanish rose  And when the lights went out there No one was about An all the country in full bloom In the room we danced  And many hearts were torn And when the word went 'round That ev'rything was wrong And just couldn't be put right, it Tore me up, it tore me up, Lord  The way you held a note The trembling in your throat That just beginning of your Wondrous smile  The rising of the water The winter winds of days gone by I often ask myself and wonder why It's gone Uhm, take me back again Take me back one more time, Spanish Rose  In slumber you did sleep The window I did creep And touch your raven hair And sang that song Again to you You did not even wince You thought I was the Prince To come and take you from your misery And lonely castle wall  Uhm, take me back again A take me back one more time, Spanish Rose";Van Morrison;Spanish Rose;;;;;;;;;;
amiable-good-natured;The boat rides we would take, the moonlight on the lake The way we danced and hummed our fav'rite song The things we did last summer I'll remember all winter long  The midway and the fun, the kewpie dolls we won The bell I rang to prove that I was strong The things we did last summer I'll remember all winter long  The early morning hike, the rented tandem bike The lunches that we used to pack We never could explain that sudden summer rain The looks we got when we got back  The leaves began to fade like promises we made How could a love that seemed so right go wrong? The things we did last summer I'll remember all winter long  brief instrumental  I've tried so to forget, at times I do, and yet The mem'ry of you lingers like our song The things we did last summer, I'll remember all winter long;Frank Sinatra;The Things We Did Last Summer;;;;;;;;;;
amiable-good-natured;The song a robin sings, Through years of endless springs, The murmur of a brook at evening tides. That ripples through a nook where two lovers hide.  That great symphonic theme, That's Stella by starlight, And not a dream, My heart and I agree, She's everything on this earth to me.  That great symphonic theme, That's Stella by starlight, And not a dream, My heart and i agree, She's everything on this earth to me.;Frank Sinatra;Stella by Starlight;;;;;;;;;;
amiable-good-natured;(Dolly Parton)  I am a seeker A poor sinful creature There is no weaker than I am I am a seeker  You are a teacher You are a reacher So reach down Won't you reach out and lead me Guide me and keep me In the shelter of your care each day 'Cause I am a seeker You are a keeper You are the leader Won't you show me the way  I am a vessel that's empty and useless I am a bad seed that fell by the way I am a loser that wants to be a winner And you are my last hope Don't turn me away  I am a seeker A poor sinful creature There is no weaker than I am I am a seeker You are a teacher You are a reacher So reach down Won't you reach out and lead me Guide me and keep me, Lord In the shelter of your care each day 'Cause I am a seeker You are a keeper You are the leader Won't you show me the way  Oh, I know you are a mountain From which there flows a fountain So let it's water wash my sins away 'Cause I am a seeker You are a keeper You are the leader Won't you show me the way;Dolly Parton;Seeker;;;;;;;;;;
amiable-good-natured;All of me Why not take all of me Can't you see That I'm no good without you Take my arms I want to loose them Take my lips I'll never use them  Your goodbye Left me with eyes that cry And I know that I Am no good without you You took the part That once was my heart So why not take all of me  All of me Why not take all of me Can't you see That I'm no good without you Take my arms I want to loose them Take my lips I'll never use them  Your goodbye Left me with eyes that cry And I know that I Am no good without you You took the part That once was my heart So why not take all of me  Why not take all of me;Willie Nelson;All of Me;;;;;;;;;;
amiable-good-natured;Blue skies smilin' at me  Nothin' but blue skies do I see  Bluebirds singin' a song  Nothin' but bluebirds all day long   Never saw the sun shinin' so bright  Never saw things goin' so right  Noticing the days hurrying by  When you're in love, my how they fly   Blue days, all of them gone  Nothin' but blue skies from now on  (Blue skies smilin' at me  Nothin' but blue skies do I see)   Never saw the sun shinin' so bright  Never saw things goin' so right  Noticing the days hurrying by  When you're in love, my how they fly   Blue days, all of them gone  Nothin' but blue skies from now on  Nothin' but blue skies from now on;Willie Nelson;Blue Skies;;;;;;;;;;
amiable-good-natured;Ridin' on the City of New Orleans Illinois Central Monday morning rail Fifteen cars and fifteen restless riders Three conductors and twenty-five sacks of mail All along the southbound odyssey the train pulls out of Kankakee And rolls along past houses farms and fields Passing trains that have no name and graveyards full of old black men And graveyards full of rusted automobiles  Good morning America how are you?  Say, don't you know me I'm your native son I'm the train they call the City of New Orleans And I'll be gone five hundred miles when the day is done  Dealin' cards with an old man in the club car Penny a point, ain't no one keepin' score Pass that paper bag that holds the bottle And feel the wheels a rumbling neath the floor And the sons of poor men porters and the sons of engineers Ride their father's magic carpet made of steel Mothers with their babes asleep rockin' to that gentle beat And the rhythm of the rails is all they feel  Good morning America how are you?  Say, don't you know me I'm your native son I'm the train they call the City of New Orleans And I'll be gone five hundred miles when the day is done  Night time on the City of New Orleans changing cars in Memphis Tennessee Half way home we'll be there by morning Through the Mississippi darkness rolling down to the sea And all the towns and people seem to fade into a bad dream And the steel rails still ain't heard the news The conductor sings his songs again the passengers will please refrain This train has got the disappearing railroad blues  Good morning America how are you?  Say, don't you know me I'm your native son I'm the train they call the City of New Orleans And I'll be gone five hundred miles when the day is done;Willie Nelson;City of New Orleans;;;;;;;;;;
amiable-good-natured;"Pretty paper, pretty ribbons of blue  Wrap your presents to your darling from you  Pretty pencils to write ""I love you"" Pretty paper, pretty ribbons of blue   Crowded street, busy feet hustle by him  Downtown shoppers, Christmas is nigh  There he sits all alone on the sidewalk  Hoping that you won't pass him by   Should you stop?, better not, much too busy  You're in a hurry, my how time does fly  In the distance the ringing of laughter  And in the midst of the laughter he cries   Pretty paper, pretty ribbons of blue  Wrap your presents to your darling from you  Pretty pencils to write ""I love you"" Pretty paper, pretty ribbons of blue";Willie Nelson;Pretty Paper;;;;;;;;;;
amiable-good-natured;Silent night, holy night, All is calm, all is bright Round yon virgin mother and child, Holy infant so tender and mild, Sleep in heavenly peace, Sleep in heavenly peace.  Choir: Silent night, holy night All is calm, all is bright  Frank: Round young virgin mother and child Holy infant so tender and mild Sleep in heavenly peace Sleep in heavenly peace     (Below is the version that appears on Seasons Greetings (2007), which is different from the above version, so this artist has at least two versions of the song out):  Silent night, holy night, All is calm, all is bright Round yon virgin mother and child, Holy infant so tender and mild, Sleep in heavenly peace, Sleep in heavenly peace.  Silent night, holy night, Shepherds quake at the sight, Glories stream from heaven afar, Heavenly hosts sing Alleluia; Christ the Savior is born! Christ the Savior is born!;Frank Sinatra;Silent Night;;;;;;;;;
amiable-good-natured;"Let's take it nice and easy It's gonna be so easy For us to fall in love  Hey baby what's your hurry Relax and don't you worry We're gonna fall in love  We're on the road to romance - that's safe to say But let's make all the stops along the way  The problem now of course is  To simply hold your horses To rush would be a crime 'Cause nice and easy does it  Nice 'n' easy does it Nice 'n' easy does it every time   ""Like the man says, 'one more time' ""  Nice 'n' easy does it Nice 'n' easy does it Nice 'n' easy does it every time";Frank Sinatra;Nice 'n' Easy;;;;;;;;;;
amiable-good-natured;(Now and then there's a fool such as I) Pardon me, if I'm sentimental When we say goodbye Don't be angry with me should I cry When you're gone, yet I'll dream A little dream as years go by Now and then there's a fool such as I   Now and then there's a fool such as I am over you You taught me how to love And now you say that we are through I'm a fool, but I'll love you dear Until the day I die Now and then there's a fool such as I   Now and then there's a fool such as I am over you You taught me how to love And now you say that we are through I'm a fool, but I'll love you dear Until the day I die Now and then there's a fool such as I  Now and then there's a fool such as I Now and then there's a fool such as I;Elvis Presley;(Now and Then There's) A Fool Such as I;;;;;;;;;;
